waypoint_id,latitude,longitude,altitude_ft,type
0,22.26166678,114.25249956,100,WAYPOINT
1,22.30916678,114.25749956,500,WAYPOINT
2,22.32583344,114.21666622,500,WAYPOINT
3,22.33916678,114.19499956,100,WAYPOINT
4,22.37666678,114.17333289,100,WAYPOINT
5,22.37833344,114.19666622,250,WAYPOINT
6,22.38083344,114.21499956,500,WAYPOINT
7,22.42083344,114.22583289,500,WAYPOINT
8,22.44166678,114.16749956,250,WAYPOINT
9,22.48666678,114.14249956,500,WAYPOINT
10,22.50000011,114.12749956,500,WAYPOINT
11,22.48291257,114.09096757,100,WAYPOINT
12,22.45166678,114.02416623,500,WAYPOINT
13,22.47083344,113.99999956,500,WAYPOINT
14,22.45416678,114.00416623,500,WAYPOINT
15,22.41250011,113.98166623,500,WAYPOINT
16,22.40833344,113.96249956,100,WAYPOINT
17,22.37500011,113.96416623,500,WAYPOINT
18,22.34200348,113.95473862,100,WAYPOINT
19,22.28166678,113.93749956,100,WAYPOINT
20,22.31053883,113.97491538,100,WAYPOINT
21,22.36333344,114.04333289,500,WAYPOINT
22,22.35083344,114.09999956,500,WAYPOINT
23,22.36250011,114.11416623,250,WAYPOINT
24,22.38000011,114.13333289,500,WAYPOINT
25,22.33833344,114.14083289,500,WAYPOINT
26,22.32583344,114.16249956,500,WAYPOINT
27,22.30833345,114.18499956,500,WAYPOINT
28,22.28750011,114.14333289,500,WAYPOINT
29,22.25166678,114.13916622,500,WAYPOINT
30,22.24750011,114.15749956,100,WAYPOINT
31,22.27916678,114.18749956,100,WAYPOINT
32,22.28583345,114.21249956,500,WAYPOINT
